customer_id,scaled_leak_feature,clean_scaled_feature,raw_feature,churn
P0,-0.5578010932418679,-0.13009438823822794,49.48035750494468,0
P1,-0.6067312740456872,-0.1920565500456355,48.888039496455754,0
P2,0.34573256767446753,1.0140848887728922,60.41796799084129,0
P3,-1.553041148640687,-1.3904049846180693,37.43260705935013,0
P4,0.10087505013206552,0.7040124371187138,57.45387681497266,0
P5,-1.9283410496568079,-1.8656616219540545,32.88946239272328,0
P6,-0.6849348488810937,-0.2910887317842923,47.94135618275733,1
P7,-0.7086490404334248,-0.3211189207179638,47.65428708792772,1
P8,0.41706226280138403,1.1044124133910327,61.28144043810434,1
P9,-0.5253045288949358,-0.0889427443004588,49.87374048372175,0
P10,-1.0214267198547349,-0.7172012744650796,43.86799713086799,1
P11,0.619901522334597,1.3612755357752166,63.736884997604164,1
P12,0.8159330772226173,1.6095178010558124,66.10991976438345,0
P13,-1.0842318847490782,-0.7967338599898904,43.107717287591136,0
